timestamp,dispositivo,temp,umid,hic,motor_x,motor_y,motor_z
2026-08-13T21:22:17.023203-03:00,ESP32Noris,,,,9.902569,-0.799676,0.675175
2026-08-13T21:22:22.184216-03:00,ESP32Noris,,,,9.758915,-0.747002,0.56504
2026-08-13T21:22:27.676096-03:00,ESP32Noris,,,,9.878627,-0.747002,0.612925
2026-08-13T21:22:32.802764-03:00,ESP32Noris,,,,9.892992,-0.770945,0.632079
2026-08-13T21:22:37.978184-03:00,ESP32Noris,,,,9.873838,-0.732637,0.622502
2026-08-13T21:22:43.140146-03:00,ESP32Noris,,,,9.859473,-0.72306,0.569829
2026-08-13T21:22:48.303022-03:00,ESP32Noris,,,,9.921723,-0.756579,0.651233
2026-08-13T21:22:53.444666-03:00,ESP32Noris,,,,9.830742,-0.756579,0.612925
2026-08-13T21:22:58.626778-03:00,ESP32Noris,,,,9.878627,-0.72306,0.641656
2026-08-13T21:23:03.779433-03:00,ESP32Noris,,,,8.145199,4.333571,3.586569
2026-08-13T21:23:10.031527-03:00,ESP32Noris,,,,8.523488,5.300843,-0.019154
2026-08-13T21:23:15.199281-03:00,ESP32Noris,,,,9.936089,0.143654,0.689541
2026-08-13T21:23:20.408517-03:00,ESP32Noris,,,,9.873838,0.15802,0.694329
